Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
173,Lucas Pires,Cádiz,0.4,1.8,1527,28,BRA
175,Álex Baena,Villarreal,0.4,1.7,2599,34,ESP
175,Cristian Portu,Girona,0.4,1.7,1271,36,ESP
177,Javi Galán,Real Sociedad,0.4,1.6,1159,19,ESP
177,Jørgen Strand Larsen,Celta de Vigo,0.4,1.6,2887,37,NOR
177,Raul de Tomas,Rayo Vallecano,0.4,1.6,1277,25,ESP
180,Bryan Zaragoza,Granada CF,0.4,1.5,1640,21,ESP
180,Julian Araujo,Las Palmas,0.4,1.5,1462,25,MEX
182,Abdon Prats,Mallorca,0.4,1.4,1258,34,ESP
183,Ricard Sánchez,Granada CF,0.4,1.3,2298,33,ESP
184,Maximiliano Gomez,Cádiz,0.4,0.5,1157,31,URU
185,Iddrisu Baba,Almería,0.3,4.0,1424,25,GHA
186,Ander Guevara,Alavés,0.3,3.8,2936,37,ESP
187,Samu,Mallorca,0.3,3.7,2305,34,POR
188,William Carvalho,Real Betis,0.3,3.6,669,22,POR
189,Dion Lopy,Almería,0.3,3.4,1917,30,SEN
190,Pepelu,Valencia CF,0.3,3.3,3305,37,ESP
191,Carlos Benavidez,Alavés,0.3,3.2,1121,29,URU
191,Oscar Valentin,Rayo Vallecano,0.3,3.2,2700,34,ESP
193,Gonzalo Escalante,Cádiz,0.3,2.6,1702,25,ARG
194,Gerard Gumbau,Granada CF,0.3,2.4,2684,35,ESP
195,Rodri,Real Betis,0.3,2.3,1039,29,ESP
196,Aurélien Tchouaméni,Real Madrid,0.3,2.2,1987,27,FRA
196,César Azpilicueta,Atlético de Madrid,0.3,2.2,1421,25,ESP
198,Benat Turrientes,Real Sociedad,0.3,2.1,1688,29,ESP
198,Toni Lato,Mallorca,0.3,2.1,1546,28,ESP
200,Abdessamad Ezzalzouli,Real Betis,0.3,2.0,921,28,MAR
200,Yuri Berchiche,Athletic Club,0.3,2.0,1931,27,ESP
202,Arsen Zakharyan,Real Sociedad,0.3,1.9,1229,29,RUS
202,José Ángel Carmona,Getafe,0.3,1.9,1312,30,ESP
202,Lucas Vázquez,Real Madrid,0.3,1.9,1410,29,ESP
205,Fran Pérez,Valencia CF,0.3,1.8,2069,32,ESP
206,Daley Blind,Girona,0.3,1.6,2971,34,NED
206,José Luis Morales,Villarreal,0.3,1.6,1037,29,ESP
206,Viktor Tsigankov,Girona,0.3,1.6,2067,30,UKR
209,Jesus Navas,Sevilla,0.3,1.5,2010,29,ESP
210,Alejandro Pozo,Almería,0.3,1.4,970,21,ESP
211,Dimitri Foulquier,Valencia CF,0.3,1.3,1833,33,FRA
212,Christopher Ramos,Cádiz,0.3,1.2,2627,37,ESP
213,Youssef En-Nesyri,Sevilla,0.3,0.9,2573,33,MAR
214,Cristhian Stuani,Girona,0.3,0.6,782,31,URU
215,Martin Zubimendi,Real Sociedad,0.2,3.5,2655,31,ESP
216,Francisco Garcia,Real Madrid,0.2,3.2,1396,25,ESP
216,Iker Munoz,Osasuna,0.2,3.2,1856,28,ESP
