Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
277,Daniel Vivian,Athletic Club,0.3,0.0,2879,33,ESP
277,Dimitri Foulquier,Valencia CF,0.3,0.0,1833,33,FRA
277,Ferland Mendy,Real Madrid,0.3,0.0,1725,23,FRA
277,Isaac Carcelén,Cádiz,0.3,0.0,2609,35,ESP
277,Iván Balliu,Rayo Vallecano,0.3,0.0,2876,33,ALB
277,Jaume Costa,Mallorca,0.3,0.0,1681,30,ESP
277,Jesus Navas,Sevilla,0.3,0.0,2010,29,ESP
277,Martin Valjent,Mallorca,0.3,0.0,2354,28,SVK
277,Nacho Fernandez,Real Madrid,0.3,0.0,1739,29,ESP
277,Omar Mascarell,Mallorca,0.3,0.0,1573,29,EQG
277,Raul Albiol,Villarreal,0.3,0.0,2035,26,ESP
277,Stefan Savic,Atlético de Madrid,0.3,0.0,1631,23,MNE
277,Toni Lato,Mallorca,0.3,0.0,1546,28,ESP
295,Hugo Guillamon,Valencia CF,0.2,33.3,1305,26,ESP
296,Alex Suárez,Las Palmas,0.2,28.6,2566,32,ESP
296,Axel Witsel,Atlético de Madrid,0.2,28.6,2784,35,BEL
298,Oscar de Marcos,Athletic Club,0.2,20.0,2261,28,ESP
299,Djené,Getafe,0.2,0.0,2490,33,TOG
299,Inigo Lekue,Athletic Club,0.2,0.0,2001,27,ESP
299,Javi Galán,Real Sociedad,0.2,0.0,1159,19,ESP
299,Jorge Herrando,Osasuna,0.2,0.0,1644,19,ESP
299,Juan Brandariz,Almería,0.2,0.0,2432,31,ESP
299,Juan Cruz,Osasuna,0.2,0.0,1663,26,ESP
299,Pau Cubarsi,Barcelona,0.2,0.0,1562,19,ESP
299,Thierry Correia,Valencia CF,0.2,0.0,2157,31,POR
299,Victor Chust,Cádiz,0.2,0.0,1870,22,ESP
308,Arnau Martinez,Girona,0.1,0.0,1240,21,ESP
308,Carlos Neva,Granada CF,0.1,0.0,3152,36,ESP
308,César Azpilicueta,Atlético de Madrid,0.1,0.0,1421,25,ESP
308,Hector Bellerin,Real Betis,0.1,0.0,1714,23,ESP
308,Kieran Tierney,Real Sociedad,0.1,0.0,1243,20,SCO
308,Kiko,Villarreal,0.1,0.0,1579,23,ESP
308,Mika Mármol,Las Palmas,0.1,0.0,3181,36,ESP
315,Boubakary Soumaré,Sevilla,0.0,0.0,2286,28,FRA
