Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
275,Ander Guevara,Alavés,0.02,0.03,2936,37,ESP
275,Andoni Gorosabel,Alavés,0.02,0.03,2863,36,ESP
277,Abdelkabir Abqar,Alavés,0.02,0.0,2314,27,MAR
277,Aihen Munoz,Real Sociedad,0.02,0.0,1120,21,ESP
277,Álex Fernández,Cádiz,0.02,0.0,1283,26,ESP
277,Aridane Hernández,Rayo Vallecano,0.02,0.0,1691,19,EQG
277,Carlos Dominguez,Celta de Vigo,0.02,0.0,1585,22,ESP
277,Cristhian Mosquera,Valencia CF,0.02,0.0,3074,36,ESP
277,Hamari Traoré,Real Sociedad,0.02,0.0,2296,31,MLI
277,Isaac Carcelén,Cádiz,0.02,0.0,2609,35,ESP
277,Iván Balliu,Rayo Vallecano,0.02,0.0,2876,33,ALB
277,Jaume Costa,Mallorca,0.02,0.0,1681,30,ESP
277,Jorge Herrando,Osasuna,0.02,0.0,1644,19,ESP
277,Koke,Atlético de Madrid,0.02,0.0,2502,35,ESP
277,Manuel Sánchez,Celta de Vigo,0.02,0.0,1777,26,ESP
277,Mika Mármol,Las Palmas,0.02,0.0,3181,36,ESP
277,Raul Albiol,Villarreal,0.02,0.0,2035,26,ESP
277,Stefan Savic,Atlético de Madrid,0.02,0.0,1631,23,MNE
277,Yeray Álvarez,Athletic Club,0.02,0.0,1155,19,ESP
294,Hugo Guillamon,Valencia CF,0.01,0.07,1305,26,ESP
295,Inigo Ruiz de Galarreta,Athletic Club,0.01,0.04,2104,29,ESP
296,Jesus Areso,Osasuna,0.01,0.03,2661,37,ESP
297,Abner,Real Betis,0.01,0.0,1397,23,BRA
297,Arnau Martinez,Girona,0.01,0.0,1240,21,ESP
297,Cenk Özkacar,Valencia CF,0.01,0.0,1595,23,TUR
297,Diego Rico,Getafe,0.01,0.0,2536,32,ESP
297,Ferland Mendy,Real Madrid,0.01,0.0,1725,23,FRA
297,Hector Bellerin,Real Betis,0.01,0.0,1714,23,ESP
297,Inigo Lekue,Athletic Club,0.01,0.0,2001,27,ESP
297,Javi Galán,Real Sociedad,0.01,0.0,1159,19,ESP
297,Jesus Navas,Sevilla,0.01,0.0,2010,29,ESP
297,Kieran Tierney,Real Sociedad,0.01,0.0,1243,20,SCO
297,Martin Valjent,Mallorca,0.01,0.0,2354,28,SVK
297,Maximo Perrone,Las Palmas,0.01,0.0,1626,29,ARG
297,Pau Cubarsi,Barcelona,0.01,0.0,1562,19,ESP
297,Toni Lato,Mallorca,0.01,0.0,1546,28,ESP
311,Boubakary Soumaré,Sevilla,0.0,0.0,2286,28,FRA
311,Carlos Neva,Granada CF,0.0,0.0,3152,36,ESP
311,Djené,Getafe,0.0,0.0,2490,33,TOG
311,Juan Cruz,Osasuna,0.0,0.0,1663,26,ESP
311,Kiko,Villarreal,0.0,0.0,1579,23,ESP
311,Sergio Herrera,Osasuna,0.0,0.0,2870,32,ESP
