Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
184,Bebé,Rayo Vallecano,1.5,2.0,193,19,CPV
184,Edgar González,Almería,1.5,2.0,2528,31,ESP
184,Reinildo,Atlético de Madrid,1.5,2.0,723,16,MOZ
187,Aitor Paredes,Athletic Club,1.5,1.0,2706,34,ESP
187,Alfonso Pedraza,Villarreal,1.5,1.0,1119,19,ESP
187,Mouctar Diakhaby,Valencia CF,1.5,1.0,1071,14,GUI
190,Ianis Hagi,Alavés,1.5,0.0,798,22,ROU
191,Aitor Ruibal,Real Betis,1.4,2.0,1015,18,ESP
191,Luka Modric,Real Madrid,1.4,2.0,1685,32,CRO
191,Matija Nastasic,Mallorca,1.4,2.0,2257,26,SRB
194,Andoni Gorosabel,Alavés,1.4,1.0,2863,36,ESP
194,Suso,Sevilla,1.4,1.0,1514,29,ESP
196,Axel Witsel,Atlético de Madrid,1.3,2.0,2784,35,BEL
196,Erik Lamela,Sevilla,1.3,2.0,459,13,ARG
196,Marc Roca,Real Betis,1.3,2.0,1986,26,ESP
196,Valery Fernández,Girona,1.3,2.0,486,27,ESP
200,Daley Blind,Girona,1.3,1.0,2971,34,NED
200,Dani Garcia,Athletic Club,1.3,1.0,738,17,ESP
200,Jesus Areso,Osasuna,1.3,1.0,2661,37,ESP
200,Jon Moncayola,Osasuna,1.3,1.0,1801,33,ESP
200,Lucas Pires,Cádiz,1.3,1.0,1527,28,BRA
200,Ronald Araujo,Barcelona,1.3,1.0,1994,25,URU
200,Saul Coco,Las Palmas,1.3,1.0,2293,30,EQG
207,Yuri Berchiche,Athletic Club,1.2,3.0,1931,27,ESP
208,Carl Starfelt,Celta de Vigo,1.2,1.0,2218,27,SWE
208,Gonzalo Villar,Granada CF,1.2,1.0,1785,35,ESP
208,Nabil Fekir,Real Betis,1.2,1.0,1049,19,FRA
211,Eduardo Camavinga,Real Madrid,1.2,0.0,1824,31,FRA
211,Isaac Carcelén,Cádiz,1.2,0.0,2609,35,ESP
211,Rubén Pena,Osasuna,1.2,0.0,2105,29,ESP
214,Carlos Benavidez,Alavés,1.1,3.0,1121,29,URU
214,Kike Salas,Sevilla,1.1,3.0,1604,23,ESP
214,Luka Romero,Almería,1.1,3.0,434,13,ARG
217,Frenkie de Jong,Barcelona,1.1,2.0,1637,20,NED
217,Gaston Álvarez,Getafe,1.1,2.0,2535,34,URU
219,Adrià Pedrosa,Sevilla,1.1,1.0,1749,31,ESP
219,Carles Alena,Getafe,1.1,1.0,1007,29,ESP
219,Gonzalo Escalante,Cádiz,1.1,1.0,1702,25,ARG
219,Gonzalo Melero,Almería,1.1,1.0,1093,28,ESP
219,Hugo Álvarez,Celta de Vigo,1.1,1.0,763,12,ESP
219,Jules Koundé,Barcelona,1.1,1.0,2899,35,FRA
219,Tadeo Allende,Celta de Vigo,1.1,1.0,330,10,ARG
226,Abdelkabir Abqar,Alavés,1.1,0.0,2314,27,MAR
226,Antonio Blanco,Alavés,1.1,0.0,2436,33,ESP
226,Iván Balliu,Rayo Vallecano,1.1,0.0,2876,33,ALB
226,José Maria Callejon,Granada CF,1.1,0.0,794,25,ESP
226,Juanlu Sánchez,Sevilla,1.1,0.0,1174,26,ESP
226,Oliver Torres,Sevilla,1.1,0.0,1620,27,ESP
226,Yéremi Pino,Villarreal,1.1,0.0,479,7,ESP
233,Aissa Mandi,Villarreal,1.0,1.0,1113,16,ALG
233,Giovanni González,Mallorca,1.0,1.0,2463,34,URU
233,Jesus Santiago,Getafe,1.0,1.0,657,14,ESP
233,Jon Pacheco,Real Sociedad,1.0,1.0,1521,23,ESP
233,Kike Pérez,Rayo Vallecano,1.0,1.0,828,24,ESP
233,Luis Hernández,Cádiz,1.0,1.0,722,9,ESP
239,César Azpilicueta,Atlético de Madrid,1.0,0.0,1421,25,ESP
239,Nemanja Radonjic,Mallorca,1.0,0.0,350,11,SRB
239,Stefan Savic,Atlético de Madrid,1.0,0.0,1631,23,MNE
239,Thierry Correia,Valencia CF,1.0,0.0,2157,31,POR
243,Ricard Sánchez,Granada CF,0.9,3.0,2298,33,ESP
244,André Almeida,Valencia CF,0.9,2.0,969,18,POR
244,Assane Diao,Real Betis,0.9,2.0,1052,18,ESP
244,Bruno Méndez,Granada CF,0.9,2.0,1336,17,URU
244,Juanma Herzog,Las Palmas,0.9,2.0,291,4,ESP
248,Cristian Herrera,Las Palmas,0.9,1.0,159,8,ESP
248,Germán Pezzella,Real Betis,0.9,1.0,2770,32,ARG
248,Javi Llabrés,Mallorca,0.9,1.0,235,16,ESP
248,Marcos Acuna,Sevilla,0.9,1.0,1296,21,ARG
252,Enzo Loiodice,Las Palmas,0.9,0.0,1792,34,FRA
253,Andreas Christensen,Barcelona,0.8,2.0,1990,30,DEN
253,Nahuel Molina,Atlético de Madrid,0.8,2.0,1855,30,ARG
253,Rubén Duarte,Alavés,0.8,2.0,1875,28,ESP
256,Abderrahman Rebbach,Alavés,0.8,1.0,713,23,ALG
256,Antonio Rüdiger,Real Madrid,0.8,1.0,2707,33,GER
256,Fran Pérez,Valencia CF,0.8,1.0,2069,32,ESP
256,Ignasi Miquel,Granada CF,0.8,1.0,2991,34,ESP
256,Jesus Vázquez,Valencia CF,0.8,1.0,705,20,ESP
256,José Ángel Carmona,Getafe,0.8,1.0,1312,30,ESP
256,José Gayà,Valencia CF,0.8,1.0,1797,24,ESP
256,Julian Araujo,Las Palmas,0.8,1.0,1462,25,MEX
256,Miguel Rubio,Granada CF,0.8,1.0,1559,19,ESP
256,Theodor Corbeanu,Granada CF,0.8,1.0,196,9,CAN
266,Aritz Elustondo,Real Sociedad,0.8,0.0,808,15,ESP
266,Ben Brereton Diaz,Villarreal,0.8,0.0,261,14,CHI
266,Famara Diédhiou,Granada CF,0.8,0.0,82,8,SEN
266,Kamil Piatkowski,Granada CF,0.8,0.0,506,9,POL
266,Pablo Barrios,Atlético de Madrid,0.8,0.0,1556,24,ESP
271,Jorge Cuenca,Villarreal,0.7,3.0,1961,29,ESP
272,Brian Ocampo,Cádiz,0.7,1.0,237,13,URU
272,Étienne Capoue,Villarreal,0.7,1.0,1444,32,FRA
272,Javi Lopez,Alavés,0.7,1.0,2387,32,ESP
272,Raul Garcia,Athletic Club,0.7,1.0,404,20,ESP
272,Samu,Mallorca,0.7,1.0,2305,34,POR
272,Unai Lopez,Rayo Vallecano,0.7,1.0,2123,35,ESP
278,Amath Ndiaye,Mallorca,0.7,0.0,388,15,SEN
278,Chadi Riad,Real Betis,0.7,0.0,2164,26,MAR
278,Hugo Sotelo,Celta de Vigo,0.7,0.0,718,17,ESP
278,Ibrahima Koné,Almería,0.7,0.0,275,9,MLI
278,Juan Iglesias,Getafe,0.7,0.0,1413,23,ESP
278,Koke,Atlético de Madrid,0.7,0.0,2502,35,ESP
278,Lázaro,Almería,0.7,0.0,274,14,BRA
278,Manuel Trigueros,Villarreal,0.7,0.0,299,14,ESP
278,Selim Amallah,Valencia CF,0.7,0.0,597,20,MAR
