Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
296,Daniel Ceballos,Real Madrid,2.0,0.0,586,20,ESP
296,David Alaba,Real Madrid,2.0,0.0,1156,14,AUT
296,Diego Lopez,Valencia CF,2.0,0.0,2671,36,ESP
296,Enzo Loiodice,Las Palmas,2.0,0.0,1792,34,FRA
296,Federico Valverde,Real Madrid,2.0,0.0,2910,37,URU
296,Fermin Lopez,Barcelona,2.0,0.0,1444,31,ESP
296,Ferran Torres,Barcelona,2.0,0.0,1204,29,ESP
296,Fran Beltrán,Celta de Vigo,2.0,0.0,2438,33,ESP
296,Francisco Garcia,Real Madrid,2.0,0.0,1396,25,ESP
296,Franco Cervi,Celta de Vigo,2.0,0.0,537,17,ARG
296,Gorka Guruzeta,Athletic Club,2.0,0.0,2240,32,ESP
296,Hannibal Mejbri,Sevilla,2.0,0.0,101,6,TUN
296,Imanol Garcia de Albeniz,Athletic Club,2.0,0.0,523,9,ESP
296,Isaac Carcelén,Cádiz,2.0,0.0,2609,35,ESP
296,Isaac Romero,Sevilla,2.0,0.0,1050,14,ESP
296,Jon Guridi,Alavés,2.0,0.0,2697,36,ESP
296,José Gayà,Valencia CF,2.0,0.0,1797,24,ESP
296,José Maria Callejon,Granada CF,2.0,0.0,794,25,ESP
296,Juanlu Sánchez,Sevilla,2.0,0.0,1174,26,ESP
296,Kaiky,Almería,2.0,0.0,520,8,BRA
296,Kamil Jozwiak,Granada CF,2.0,0.0,573,11,POL
296,Luka Modric,Real Madrid,2.0,0.0,1685,32,CRO
296,Luka Romero,Almería,2.0,0.0,434,13,ARG
296,Malcom Ares,Athletic Club,2.0,0.0,258,12,ESP
296,Mamadou Mbaye,Cádiz,2.0,0.0,286,4,SEN
296,Manu Morlanes,Mallorca,2.0,0.0,1610,35,ESP
296,Marc Pubill,Almería,2.0,0.0,1889,23,ESP
296,Marcao,Sevilla,2.0,0.0,354,7,BRA
296,Matteo Gabbia,Villarreal,2.0,0.0,478,7,ITA
296,Mauro Arambarri,Getafe,2.0,0.0,337,7,URU
296,Maximiliano Gomez,Cádiz,2.0,0.0,1157,31,URU
296,Memphis Depay,Atlético de Madrid,2.0,0.0,888,23,NED
296,Miguel Rodriguez,Celta de Vigo,2.0,0.0,291,15,ESP
296,Mihailo Ristic,Celta de Vigo,2.0,0.0,807,12,SRB
296,Mikel Vesga,Athletic Club,2.0,0.0,1535,27,ESP
296,Nacho Vidal,Mallorca,2.0,0.0,506,15,ESP
296,Oscar Melendo,Granada CF,2.0,0.0,1126,26,ESP
296,Pablo Fornals,Real Betis,2.0,0.0,1153,15,ESP
296,Paulo Gazzaniga,Girona,2.0,0.0,3420,38,ARG
296,Predrag Rajkovic,Mallorca,2.0,0.0,3240,36,SRB
296,Randy Nteka,Rayo Vallecano,2.0,0.0,563,16,ANG
296,Reinildo,Atlético de Madrid,2.0,0.0,723,16,MOZ
296,Rodrygo,Real Madrid,2.0,0.0,2388,34,BRA
296,Roman Yaremchuk,Valencia CF,2.0,0.0,926,25,UKR
296,Rominigue Kouamé,Cádiz,2.0,0.0,820,16,MLI
296,Sergi Canos,Valencia CF,2.0,0.0,1234,27,ESP
296,Sergio Akieme,Almería,2.0,0.0,1676,19,EQG
296,Sergio Herrera,Osasuna,2.0,0.0,2870,32,ESP
296,Sory Kaba,Las Palmas,2.0,0.0,720,17,GUI
296,Stole Dimitrievski,Rayo Vallecano,2.0,0.0,3330,37,MKD
296,Takefusa Kubo,Real Sociedad,2.0,0.0,2155,30,JPN
296,Theodor Corbeanu,Granada CF,2.0,0.0,196,9,CAN
296,Unai Simon,Athletic Club,2.0,0.0,3184,36,ESP
296,Vicente Guaita,Celta de Vigo,2.0,0.0,2402,27,ESP
296,William Carvalho,Real Betis,2.0,0.0,669,22,POR
296,Youssouf Sabaly,Real Betis,2.0,0.0,1048,12,SEN
373,Alberto Moreno,Villarreal,1.0,2.0,1490,27,ESP
374,Bruno Langa,Almería,1.0,1.0,819,11,MOZ
374,Federico San Emeterio,Cádiz,1.0,1.0,155,4,ESP
374,Kamil Piatkowski,Granada CF,1.0,1.0,506,9,POL
374,Yeray Álvarez,Athletic Club,1.0,1.0,1155,19,ESP
378,Abderrahman Rebbach,Alavés,1.0,0.0,713,23,ALG
378,Abdessamad Ezzalzouli,Real Betis,1.0,0.0,921,28,MAR
378,Adrià Pedrosa,Sevilla,1.0,0.0,1749,31,ESP
378,Alberto Moleiro,Las Palmas,1.0,0.0,1807,28,ESP
378,Álex Balde,Barcelona,1.0,0.0,1378,18,ESP
378,Álvaro Fernández,Granada CF,1.0,0.0,474,13,ESP
378,Álvaro Lemos,Las Palmas,1.0,0.0,251,4,ESP
378,Ander Barrenetxea,Real Sociedad,1.0,0.0,1436,29,ESP
378,André Ferreira,Granada CF,1.0,0.0,1339,15,POR
378,André Silva,Real Sociedad,1.0,0.0,730,19,POR
378,Andrei Ratiu,Rayo Vallecano,1.0,0.0,627,12,ROU
378,Arda Güler,Real Madrid,1.0,0.0,373,10,TUR
378,Arsen Zakharyan,Real Sociedad,1.0,0.0,1229,29,RUS
378,Bebé,Rayo Vallecano,1.0,0.0,193,19,CPV
378,Benat Prados,Athletic Club,1.0,0.0,1450,26,ESP
378,Carlos Romero,Villarreal,1.0,0.0,259,7,ESP
378,Carlos Vicente,Alavés,1.0,0.0,1118,18,ESP
378,Cédric Bakambu,Real Betis,1.0,0.0,195,4,COD
378,Chadi Riad,Real Betis,1.0,0.0,2164,26,MAR
378,Cristian Herrera,Las Palmas,1.0,0.0,159,8,ESP
378,Damian Rodriguez,Celta de Vigo,1.0,0.0,257,5,ESP
378,David Gil,Cádiz,1.0,0.0,371,5,ESP
378,Fabio González,Las Palmas,1.0,0.0,121,6,ESP
378,Famara Diédhiou,Granada CF,1.0,0.0,82,8,SEN
378,Giuliano Simeone,Alavés,1.0,0.0,628,14,ARG
378,Hugo Álvarez,Celta de Vigo,1.0,0.0,763,12,ESP
378,Hugo Sotelo,Celta de Vigo,1.0,0.0,718,17,ESP
378,Ibrahima Kébé,Girona,1.0,0.0,7,2,MLI
378,Iker Muniain,Athletic Club,1.0,0.0,585,20,ESP
