Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
212,Luis Rioja,Alavés,0.8,22.0,2511,37,ESP
213,Jorge de Frutos,Rayo Vallecano,0.8,14.0,1542,36,ESP
214,Predrag Rajkovic,Mallorca,0.8,30.0,3240,36,SRB
215,Cyle Larin,Mallorca,0.8,17.0,1823,35,CAN
216,Enzo Loiodice,Las Palmas,0.8,15.0,1792,34,FRA
217,Rodrigo Riquelme,Atlético de Madrid,0.8,13.0,1522,34,ESP
218,Jon Moncayola,Osasuna,0.8,17.0,1801,33,ESP
219,Kike Garcia,Alavés,0.8,12.0,1421,33,ESP
220,Luis Maximiano,Almería,0.8,27.0,2970,33,POR
221,Brais Méndez,Real Sociedad,0.8,21.0,2420,32,ESP
222,Ruben Sobrino,Cádiz,0.8,14.0,1648,32,ESP
223,Sergio Camello,Rayo Vallecano,0.8,15.0,1668,31,ESP
223,Iván Alejo,Cádiz,0.8,15.0,1702,30,ESP
225,Rui Silva,Real Betis,0.8,22.0,2475,28,POR
226,Umar Sadiq,Real Sociedad,0.8,10.0,1074,26,NGA
227,Ezequiel Ávila,Real Betis,0.8,11.0,1166,23,ARG
228,Sergi Guardiola,Cádiz,0.8,4.0,475,22,ESP
229,Selim Amallah,Valencia CF,0.8,5.0,597,20,MAR
230,Javier Munoz,Las Palmas,0.7,22.0,2646,37,ESP
231,Daniel Rodriguez,Mallorca,0.7,20.0,2632,36,ESP
232,Filip Jörgensen,Villarreal,0.7,26.0,3240,36,DEN
233,Jon Guridi,Alavés,0.7,22.0,2697,36,ESP
234,Alex Berenguer,Athletic Club,0.7,12.0,1581,35,ESP
235,Lucas Ocampos,Sevilla,0.7,23.0,2885,35,ARG
236,Raul Garcia,Osasuna,0.7,11.0,1347,35,ESP
237,Samuel Dias Lino,Atlético de Madrid,0.7,17.0,2087,34,BRA
237,Yan Couto,Girona,0.7,17.0,2245,34,BRA
239,Ante Budimir,Osasuna,0.7,18.0,2449,33,CRO
240,Antoine Griezmann,Atlético de Madrid,0.7,21.0,2654,33,FRA
241,Willian José,Real Betis,0.7,15.0,1978,33,BRA
242,Luca de la Torre,Celta de Vigo,0.7,16.0,1956,31,USA
243,Marvin Park,Las Palmas,0.7,14.0,1852,31,ESP
244,Inigo Ruiz de Galarreta,Athletic Club,0.7,17.0,2104,29,ESP
245,Boubakary Soumaré,Sevilla,0.7,18.0,2286,28,FRA
246,Raphinha,Barcelona,0.7,11.0,1370,28,BRA
247,Borja Mayoral,Getafe,0.7,16.0,2162,27,ESP
248,Sandro Ramirez,Las Palmas,0.7,14.0,1819,27,ESP
249,Kike Pérez,Rayo Vallecano,0.7,6.0,828,24,ESP
250,Ørjan Håskjold Nyland,Sevilla,0.7,16.0,2160,24,NOR
251,Ramon Terrats,Villarreal,0.7,6.0,780,19,ESP
252,Jan Oblak,Atlético de Madrid,0.6,23.0,3420,38,SVN
252,Kirian Rodriguez,Las Palmas,0.6,23.0,3217,37,ESP
254,Artem Dovbyk,Girona,0.6,17.0,2605,36,UKR
255,Sergi Darder,Mallorca,0.6,14.0,2154,36,ESP
256,Robert Lewandowski,Barcelona,0.6,18.0,2758,35,POL
257,Samuel Omorodion,Alavés,0.6,14.0,2003,35,ESP
258,Unai Lopez,Rayo Vallecano,0.6,13.0,2123,35,ESP
259,Álex Baena,Villarreal,0.6,16.0,2599,34,ESP
260,Fermin Lopez,Barcelona,0.6,9.0,1444,31,ESP
260,Oscar Trejo,Rayo Vallecano,0.6,9.0,1381,31,ARG
