Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
249,Yuri Berchiche,Athletic Club,0.9,3.0,1931,27,ESP
251,Aitor Ruibal,Real Betis,0.9,2.0,1015,18,ESP
251,Gaston Álvarez,Getafe,0.9,2.0,2535,34,URU
251,Reinildo,Atlético de Madrid,0.9,2.0,723,16,MOZ
254,Bertrand Traoré,Villarreal,0.9,1.0,569,11,BFA
254,Cristian Herrera,Las Palmas,0.9,1.0,159,8,ESP
254,Gavi,Barcelona,0.9,1.0,943,12,ESP
254,Javi Lopez,Alavés,0.9,1.0,2387,32,ESP
254,Raul Garcia,Athletic Club,0.9,1.0,404,20,ESP
259,Eduardo Camavinga,Real Madrid,0.9,0.0,1824,31,FRA
259,Jon Olasagasti,Real Sociedad,0.9,0.0,351,14,ESP
259,Juanlu Sánchez,Sevilla,0.9,0.0,1174,26,ESP
259,Lázaro,Almería,0.9,0.0,274,14,BRA
259,Lucien Agoume,Sevilla,0.9,0.0,777,12,FRA
259,Mika Mármol,Las Palmas,0.9,0.0,3181,36,ESP
259,Oscar Trejo,Rayo Vallecano,0.9,0.0,1381,31,ARG
259,Pablo Barrios,Atlético de Madrid,0.9,0.0,1556,24,ESP
267,Abderrahman Rebbach,Alavés,0.8,1.0,713,23,ALG
267,Dani Garcia,Athletic Club,0.8,1.0,738,17,ESP
267,José Ángel Carmona,Getafe,0.8,1.0,1312,30,ESP
267,Lucas Pires,Cádiz,0.8,1.0,1527,28,BRA
267,Marc Guiu,Barcelona,0.8,1.0,73,3,ESP
267,Miguel Rubio,Granada CF,0.8,1.0,1559,19,ESP
267,Nemanja Gudelj,Sevilla,0.8,1.0,1744,22,SRB
267,Pablo Maffeo,Mallorca,0.8,1.0,1456,22,ARG
275,Antonio Blanco,Alavés,0.8,0.0,2436,33,ESP
275,Daniel Vivian,Athletic Club,0.8,0.0,2879,33,ESP
275,Fali,Cádiz,0.8,0.0,2550,30,ESP
275,Fran Beltrán,Celta de Vigo,0.8,0.0,2438,33,ESP
275,Igor Zubeldia,Real Sociedad,0.8,0.0,2523,30,ESP
275,Kamil Piatkowski,Granada CF,0.8,0.0,506,9,POL
275,Pablo Torre,Girona,0.8,0.0,690,26,ESP
282,Alberto Moreno,Villarreal,0.7,2.0,1490,27,ESP
282,Frenkie de Jong,Barcelona,0.7,2.0,1637,20,NED
282,Guido Rodriguez,Real Betis,0.7,2.0,1849,24,ARG
282,Juanma Herzog,Las Palmas,0.7,2.0,291,4,ESP
282,Rubén Duarte,Alavés,0.7,2.0,1875,28,ESP
282,Valery Fernández,Girona,0.7,2.0,486,27,ESP
288,Adrià Pedrosa,Sevilla,0.7,1.0,1749,31,ESP
