Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
183,Hugo Duro,Valencia CF,14.0,0.4,2994,37,ESP
184,Iker Muniain,Athletic Club,13.0,2.0,585,20,ESP
185,Memphis Depay,Atlético de Madrid,13.0,1.3,888,23,NED
186,Alejandro Pozo,Almería,13.0,1.2,970,21,ESP
186,André Almeida,Valencia CF,13.0,1.2,969,18,POR
188,Dodi Lukebakio,Sevilla,13.0,1.0,1124,23,BEL
188,Pep Chavarria,Rayo Vallecano,13.0,1.0,1164,22,ESP
190,Álex Fernández,Cádiz,13.0,0.9,1283,26,ESP
191,Álex Balde,Barcelona,13.0,0.8,1378,18,ESP
191,Ander Barrenetxea,Real Sociedad,13.0,0.8,1436,29,ESP
193,Dion Lopy,Almería,13.0,0.6,1917,30,SEN
193,Marvin Park,Las Palmas,13.0,0.6,1852,31,ESP
195,Javier Guerra,Valencia CF,13.0,0.5,2502,36,ESP
195,Omar Alderete,Getafe,13.0,0.5,2194,31,PAR
197,Erik Lamela,Sevilla,12.0,2.4,459,13,ARG
198,Unai Gomez,Athletic Club,12.0,1.2,867,25,ESP
199,Ander Herrera,Athletic Club,12.0,1.1,1023,23,ESP
200,Aihen Munoz,Real Sociedad,12.0,1.0,1120,21,ESP
201,Javi Galán,Real Sociedad,12.0,0.9,1159,19,ESP
201,Pablo Ibánez,Osasuna,12.0,0.9,1141,33,ESP
201,Sergi Canos,Valencia CF,12.0,0.9,1234,27,ESP
204,Antonio Sánchez,Mallorca,12.0,0.7,1463,29,ESP
204,Santi Comesana,Villarreal,12.0,0.7,1656,27,ESP
206,Joselu,Real Madrid,12.0,0.6,1676,34,ESP
207,Samu,Mallorca,12.0,0.5,2305,34,POR
208,Ante Budimir,Osasuna,12.0,0.4,2449,33,CRO
208,Ignasi Miquel,Granada CF,12.0,0.4,2991,34,ESP
208,Sergio Ruiz,Granada CF,12.0,0.4,2501,35,ESP
211,Borja Iglesias,Real Betis,11.0,2.5,404,11,ESP
212,Daniel Ceballos,Real Madrid,11.0,1.7,586,20,ESP
213,Giuliano Simeone,Alavés,11.0,1.6,628,14,ARG
213,Luiz Henrique,Real Betis,11.0,1.6,611,14,BRA
215,Pablo Torre,Girona,11.0,1.4,690,26,ESP
216,Darwin Machis,Cádiz,11.0,1.3,782,21,VEN
217,Juanmi,Cádiz,11.0,1.1,872,16,ESP
218,Aitor Ruibal,Real Betis,11.0,1.0,1015,18,ESP
218,Álex Centelles,Almería,11.0,1.0,979,14,ESP
218,Gavi,Barcelona,11.0,1.0,943,12,ESP
221,Gonzalo Melero,Almería,11.0,0.9,1093,28,ESP
221,Isaac Romero,Sevilla,11.0,0.9,1050,14,ESP
221,Oscar Melendo,Granada CF,11.0,0.9,1126,26,ESP
224,Arnau Martinez,Girona,11.0,0.8,1240,21,ESP
225,Juan Iglesias,Getafe,11.0,0.7,1413,23,ESP
225,Pablo Maffeo,Mallorca,11.0,0.7,1456,22,ARG
225,Roger,Cádiz,11.0,0.7,1367,23,ESP
228,Ferland Mendy,Real Madrid,11.0,0.6,1725,23,FRA
228,Gonzalo Escalante,Cádiz,11.0,0.6,1702,25,ARG
228,Pathé Ciss,Rayo Vallecano,11.0,0.6,1658,31,SEN
231,Aurélien Tchouaméni,Real Madrid,11.0,0.5,1987,27,FRA
231,Cyle Larin,Mallorca,11.0,0.5,1823,35,CAN
233,Oscar Valentin,Rayo Vallecano,11.0,0.4,2700,34,ESP
234,Franco Cervi,Celta de Vigo,10.0,1.7,537,17,ARG
235,Antonio Puertas,Granada CF,10.0,1.3,720,27,ESP
235,William Carvalho,Real Betis,10.0,1.3,669,22,POR
237,Carles Pérez,Celta de Vigo,10.0,1.2,768,16,ESP
237,Cristhian Stuani,Girona,10.0,1.2,782,31,URU
239,Assane Diao,Real Betis,10.0,0.9,1052,18,ESP
240,David Alaba,Real Madrid,10.0,0.8,1156,14,AUT
240,Maximiliano Gomez,Cádiz,10.0,0.8,1157,31,URU
240,Umar Sadiq,Real Sociedad,10.0,0.8,1074,26,NGA
243,José Ángel Carmona,Getafe,10.0,0.7,1312,30,ESP
243,Raul Garcia,Osasuna,10.0,0.7,1347,35,ESP
245,Benat Prados,Athletic Club,10.0,0.6,1450,26,ESP
245,Toni Lato,Mallorca,10.0,0.6,1546,28,ESP
247,Igor Zubeldia,Real Sociedad,10.0,0.4,2523,30,ESP
248,Eric Garcia,Girona,10.0,0.3,2697,32,ESP
248,Unai Nunez,Celta de Vigo,10.0,0.3,2802,34,ESP
250,Asier Villalibre,Athletic Club,9.0,1.6,503,18,ESP
250,Pejino,Las Palmas,9.0,1.6,498,17,ESP
252,Randy Nteka,Rayo Vallecano,9.0,1.4,563,16,ANG
253,Lucien Agoume,Sevilla,9.0,1.0,777,12,FRA
254,Sergi Roberto,Barcelona,9.0,0.9,863,14,ESP
255,Étienne Capoue,Villarreal,9.0,0.6,1444,32,FRA
255,Hugo Guillamon,Valencia CF,9.0,0.6,1305,26,ESP
257,Benat Turrientes,Real Sociedad,9.0,0.5,1688,29,ESP
257,Lucas Torro,Osasuna,9.0,0.5,1788,28,ESP
257,Maximo Perrone,Las Palmas,9.0,0.5,1626,29,ARG
260,Loic Badé,Sevilla,9.0,0.4,2283,28,FRA
261,Youssef En-Nesyri,Sevilla,9.0,0.3,2573,33,MAR
