Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
277,Antonio Puertas,Granada CF,18.0,77.8,720,27,ESP
278,Luis Rioja,Alavés,17.7,74.9,2511,37,ESP
279,Raul Garcia,Athletic Club,17.6,61.2,404,20,ESP
280,Leo Baptistao,Almería,17.4,67.2,1843,32,BRA
281,Cristian Portu,Girona,17.3,79.8,1271,36,ESP
282,Predrag Rajkovic,Mallorca,17.3,55.1,3240,36,SRB
283,Borja Mayoral,Getafe,17.2,77.7,2162,27,ESP
284,Álvaro Garcia,Rayo Vallecano,17.1,68.9,2493,32,ESP
285,Pablo Maffeo,Mallorca,17.1,66.3,1456,22,ARG
286,Jeremias Ledesma,Cádiz,17.1,54.2,3049,34,ARG
287,Gorka Guruzeta,Athletic Club,16.8,69.3,2240,32,ESP
288,Unai Simon,Athletic Club,16.6,54.4,3184,36,ESP
289,Diego Lopez,Valencia CF,16.4,69.0,2671,36,ESP
290,Jaime Mata,Getafe,16.3,68.9,1790,35,ESP
291,André Silva,Real Sociedad,16.2,81.9,730,19,POR
292,Ørjan Håskjold Nyland,Sevilla,16.0,56.7,2160,24,NOR
293,Antonio Sivera,Alavés,15.9,54.7,3060,34,ESP
294,Lucas Boye,Granada CF,15.8,73.7,2555,31,ARG
295,Alex Sola,Alavés,15.8,71.7,1285,31,ESP
296,Vedat Muriqi,Mallorca,15.8,64.0,2329,29,KVX
297,Vicente Guaita,Celta de Vigo,15.8,63.3,2402,27,ESP
298,Jan Oblak,Atlético de Madrid,15.7,70.9,3420,38,SVN
299,Mikel Oyarzabal,Real Sociedad,15.5,75.6,2157,33,ESP
300,Jesus Vázquez,Valencia CF,15.3,67.0,705,20,ESP
301,Stole Dimitrievski,Rayo Vallecano,15.3,55.4,3330,37,MKD
302,David Soria,Getafe,14.9,48.4,3414,38,ESP
303,Roger,Cádiz,14.8,67.8,1367,23,ESP
304,Sergio Camello,Rayo Vallecano,14.7,73.6,1668,31,ESP
305,Raul de Tomas,Rayo Vallecano,14.6,79.6,1277,25,ESP
306,Joselu,Real Madrid,13.7,73.6,1676,34,ESP
307,Roman Yaremchuk,Valencia CF,13.7,69.5,926,25,UKR
308,José Luis Morales,Villarreal,13.3,76.1,1037,29,ESP
309,Robert Lewandowski,Barcelona,13.3,72.3,2758,35,POL
310,Jørgen Strand Larsen,Celta de Vigo,13.0,70.1,2887,37,NOR
311,Alexander Sørloth,Villarreal,12.8,76.6,2491,34,NOR
312,Raul Garcia,Osasuna,12.6,64.1,1347,35,ESP
313,Kike Garcia,Alavés,12.5,68.4,1421,33,ESP
314,Abderrahman Rebbach,Alavés,12.5,66.9,713,23,ALG
315,Álvaro Morata,Atlético de Madrid,12.4,70.7,1909,32,ESP
316,Giorgi Mamardashvili,Valencia CF,12.4,46.9,3285,37,GEO
317,Hugo Duro,Valencia CF,12.1,72.3,2994,37,ESP
318,Bryan Zaragoza,Granada CF,12.1,65.6,1640,21,ESP
319,Largie Ramazani,Almería,11.3,64.4,1560,29,BEL
320,Anthony Lozano,Almería,11.1,73.3,866,19,HON
321,Juanmi Latasa,Getafe,11.1,52.9,1553,32,ESP
322,Samuel Omorodion,Alavés,10.7,72.2,2003,35,ESP
323,Umar Sadiq,Real Sociedad,10.7,71.1,1074,26,NGA
324,Anastasios Douvikas,Celta de Vigo,10.6,63.4,886,32,GRE
325,Iván Alejo,Cádiz,10.3,64.1,1702,30,ESP
326,Maximiliano Gomez,Cádiz,10.1,55.8,1157,31,URU
327,Cristhian Stuani,Girona,9.7,73.7,782,31,URU
328,Artem Dovbyk,Girona,9.6,71.8,2605,36,UKR
329,Abdon Prats,Mallorca,9.4,56.7,1258,34,ESP
330,Christopher Ramos,Cádiz,9.2,57.6,2627,37,ESP
331,Cyle Larin,Mallorca,9.0,64.7,1823,35,CAN
332,Ante Budimir,Osasuna,8.6,54.8,2449,33,CRO
333,Myrto Uzuni,Granada CF,8.2,78.9,2459,34,ALB
334,Youssef En-Nesyri,Sevilla,7.1,65.0,2573,33,MAR
