Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
238,César Azpilicueta,Atlético de Madrid,1.0,0.0,1421,25,ESP
238,Cristhian Mosquera,Valencia CF,1.0,0.0,3074,36,ESP
238,Damian Suarez,Getafe,1.0,0.0,1306,16,URU
238,David Alaba,Real Madrid,1.0,0.0,1156,14,AUT
238,Dimitri Foulquier,Valencia CF,1.0,0.0,1833,33,FRA
238,Dion Lopy,Almería,1.0,0.0,1917,30,SEN
238,Domingos Duarte,Getafe,1.0,0.0,905,15,POR
238,Fali,Cádiz,1.0,0.0,2550,30,ESP
238,Famara Diédhiou,Granada CF,1.0,0.0,82,8,SEN
238,Gerard Gumbau,Granada CF,1.0,0.0,2684,35,ESP
238,Hector Bellerin,Real Betis,1.0,0.0,1714,23,ESP
238,Igor Zubeldia,Real Sociedad,1.0,0.0,2523,30,ESP
238,Inigo Martinez,Barcelona,1.0,0.0,1293,20,ESP
238,Iván Alejo,Cádiz,1.0,0.0,1702,30,ESP
238,Johan Mojica,Osasuna,1.0,0.0,2041,30,COL
238,Juan Brandariz,Almería,1.0,0.0,2432,31,ESP
238,Juanlu Sánchez,Sevilla,1.0,0.0,1174,26,ESP
238,Kamil Piatkowski,Granada CF,1.0,0.0,506,9,POL
238,Koke,Atlético de Madrid,1.0,0.0,2502,35,ESP
238,Luis Milla,Getafe,1.0,0.0,2123,27,ESP
238,Mamadou Mbaye,Cádiz,1.0,0.0,286,4,SEN
238,Manu Morlanes,Mallorca,1.0,0.0,1610,35,ESP
238,Manuel Sánchez,Celta de Vigo,1.0,0.0,1777,26,ESP
238,Manuel Trigueros,Villarreal,1.0,0.0,299,14,ESP
238,Marcos Pena,Almería,1.0,0.0,439,7,ESP
238,Mariano Diaz,Sevilla,1.0,0.0,239,9,DOM
238,Martin Hongla,Granada CF,1.0,0.0,558,13,CMR
238,Matias Arezo,Granada CF,1.0,0.0,359,14,URU
238,Nacho Fernandez,Real Madrid,1.0,0.0,1739,29,ESP
238,Nemanja Radonjic,Mallorca,1.0,0.0,350,11,SRB
238,Oliver Torres,Sevilla,1.0,0.0,1620,27,ESP
238,Pablo Torre,Girona,1.0,0.0,690,26,ESP
238,Renato Tapia,Celta de Vigo,1.0,0.0,1337,21,PER
238,Rodri,Real Betis,1.0,0.0,1039,29,ESP
238,Rubén Pena,Osasuna,1.0,0.0,2105,29,ESP
238,Selim Amallah,Valencia CF,1.0,0.0,597,20,MAR
238,Sergio Ruiz,Granada CF,1.0,0.0,2501,35,ESP
238,Stefan Savic,Atlético de Madrid,1.0,0.0,1631,23,MNE
238,Xeber Alkain,Alavés,1.0,0.0,300,10,ESP
238,Yéremi Pino,Villarreal,1.0,0.0,479,7,ESP
