Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
219,Pablo Barrios,Atlético de Madrid,1.0,1.0,1556,24,ESP
219,Samu,Mallorca,1.0,1.0,2305,34,POR
227,Antonio Rüdiger,Real Madrid,1.0,0.0,2707,33,GER
227,Benat Prados,Athletic Club,1.0,0.0,1450,26,ESP
227,Leo Baptistao,Almería,1.0,0.0,1843,32,BRA
227,Oscar Melendo,Granada CF,1.0,0.0,1126,26,ESP
227,Unai Nunez,Celta de Vigo,1.0,0.0,2802,34,ESP
232,Aihen Munoz,Real Sociedad,0.9,2.0,1120,21,ESP
232,Inigo Lekue,Athletic Club,0.9,2.0,2001,27,ESP
232,Pablo Maffeo,Mallorca,0.9,2.0,1456,22,ARG
232,Youssef En-Nesyri,Sevilla,0.9,2.0,2573,33,MAR
236,Alberto Mari,Valencia CF,0.9,1.0,264,16,ESP
236,André Almeida,Valencia CF,0.9,1.0,969,18,POR
236,Gonzalo Melero,Almería,0.9,1.0,1093,28,ESP
236,Juan Foyth,Villarreal,0.9,1.0,1063,12,ARG
236,Nacho Fernandez,Real Madrid,0.9,1.0,1739,29,ESP
236,Oriol Romeu,Barcelona,0.9,1.0,930,28,ESP
236,Randy Nteka,Rayo Vallecano,0.9,1.0,563,16,ANG
236,Umar Sadiq,Real Sociedad,0.9,1.0,1074,26,NGA
244,Fabricio Angileri,Getafe,0.9,0.0,160,11,ARG
244,Joseba Zaldua,Cádiz,0.9,0.0,709,13,ESP
244,Julian Araujo,Las Palmas,0.9,0.0,1462,25,MEX
244,Kike Pérez,Rayo Vallecano,0.9,0.0,828,24,ESP
248,Andreas Christensen,Barcelona,0.8,2.0,1990,30,DEN
248,Antonio Raillo,Mallorca,0.8,2.0,2198,26,ESP
248,Damian Rodriguez,Celta de Vigo,0.8,2.0,257,5,ESP
248,Igor Zubeldia,Real Sociedad,0.8,2.0,2523,30,ESP
248,Sergi Roberto,Barcelona,0.8,2.0,863,14,ESP
253,Aitor Ruibal,Real Betis,0.8,1.0,1015,18,ESP
253,Carles Pérez,Celta de Vigo,0.8,1.0,768,16,ESP
253,David Alaba,Real Madrid,0.8,1.0,1156,14,AUT
253,Florian Lejeune,Rayo Vallecano,0.8,1.0,3328,37,FRA
253,Ignasi Miquel,Granada CF,0.8,1.0,2991,34,ESP
253,Jorge Cuenca,Villarreal,0.8,1.0,1961,29,ESP
253,Omar Alderete,Getafe,0.8,1.0,2194,31,PAR
253,Raul Garcia,Osasuna,0.8,1.0,1347,35,ESP
253,Sergi Guardiola,Cádiz,0.8,1.0,475,22,ESP
253,Sergio Rodelas,Granada CF,0.8,1.0,122,3,ESP
263,Alejandro Pozo,Almería,0.8,0.0,970,21,ESP
263,Assane Diao,Real Betis,0.8,0.0,1052,18,ESP
263,Dimitri Foulquier,Valencia CF,0.8,0.0,1833,33,FRA
263,Guido Rodriguez,Real Betis,0.8,0.0,1849,24,ARG
263,José Luis Morales,Villarreal,0.8,0.0,1037,29,ESP
263,Kike Salas,Sevilla,0.8,0.0,1604,23,ESP
263,Robin Le Normand,Real Sociedad,0.8,0.0,2473,29,ESP
270,William Carvalho,Real Betis,0.7,3.0,669,22,POR
271,Asier Villalibre,Athletic Club,0.7,1.0,503,18,ESP
271,Borja Iglesias,Real Betis,0.7,1.0,404,11,ESP
271,Boubakary Soumaré,Sevilla,0.7,1.0,2286,28,FRA
271,Carlos Benavidez,Alavés,0.7,1.0,1121,29,URU
271,Youssouf Sabaly,Real Betis,0.7,1.0,1048,12,SEN
276,Bertrand Traoré,Villarreal,0.7,0.0,569,11,BFA
276,Dion Lopy,Almería,0.7,0.0,1917,30,SEN
276,Djené,Getafe,0.7,0.0,2490,33,TOG
276,Erik Lamela,Sevilla,0.7,0.0,459,13,ARG
276,Ferland Mendy,Real Madrid,0.7,0.0,1725,23,FRA
276,Kiko,Villarreal,0.7,0.0,1579,23,ESP
276,Matija Nastasic,Mallorca,0.7,0.0,2257,26,SRB
276,Nahuel Tenaglia,Alavés,0.7,0.0,1131,25,ARG
276,Nemanja Radonjic,Mallorca,0.7,0.0,350,11,SRB
276,Oscar Valentin,Rayo Vallecano,0.7,0.0,2700,34,ESP
276,Pathé Ciss,Rayo Vallecano,0.7,0.0,1658,31,SEN
276,Renato Tapia,Celta de Vigo,0.7,0.0,1337,21,PER
276,Unai Gomez,Athletic Club,0.7,0.0,867,25,ESP
276,Williot Swedberg,Celta de Vigo,0.7,0.0,434,15,SWE
290,Antonio Puertas,Granada CF,0.6,2.0,720,27,ESP
290,Hugo Duro,Valencia CF,0.6,2.0,2994,37,ESP
292,Anastasios Douvikas,Celta de Vigo,0.6,1.0,886,32,GRE
292,Benat Turrientes,Real Sociedad,0.6,1.0,1688,29,ESP
292,Juan Brandariz,Almería,0.6,1.0,2432,31,ESP
292,Juan Cruz,Osasuna,0.6,1.0,1663,26,ESP
292,Juanmi,Cádiz,0.6,1.0,872,16,ESP
292,Kamil Jozwiak,Granada CF,0.6,1.0,573,11,POL
292,Marc Cardona,Las Palmas,0.6,1.0,724,26,ESP
292,Raul Albiol,Villarreal,0.6,1.0,2035,26,ESP
292,Samuel Omorodion,Alavés,0.6,1.0,2003,35,ESP
301,Alex Suárez,Las Palmas,0.6,0.0,2566,32,ESP
301,Andrei Ratiu,Rayo Vallecano,0.6,0.0,627,12,ROU
