Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
277,Cenk Özkacar,Valencia CF,0.7,3.0,1595,23,TUR
277,Pedri,Barcelona,0.7,3.0,1482,24,ESP
277,Toni Kroos,Real Madrid,0.7,3.0,2130,33,GER
277,Victor Chust,Cádiz,0.7,3.0,1870,22,ESP
281,Cristhian Mosquera,Valencia CF,0.7,2.0,3074,36,ESP
281,Jon Guridi,Alavés,0.7,2.0,2697,36,ESP
281,Roman Yaremchuk,Valencia CF,0.7,2.0,926,25,UKR
284,Rodrigo Riquelme,Atlético de Madrid,0.7,1.0,1522,34,ESP
285,Jonathan Bamba,Celta de Vigo,0.7,0.0,1993,27,CIV
285,Robert Navarro,Cádiz,0.7,0.0,1905,28,ESP
287,Kirian Rodriguez,Las Palmas,0.6,7.0,3217,37,ESP
288,Daley Blind,Girona,0.6,6.0,2971,34,NED
288,Iago Aspas,Celta de Vigo,0.6,6.0,2715,35,ESP
290,Carl Starfelt,Celta de Vigo,0.6,4.0,2218,27,SWE
290,Carlos Neva,Granada CF,0.6,4.0,3152,36,ESP
290,Daniel Parejo,Villarreal,0.6,4.0,2586,33,ESP
290,Nemanja Maksimovic,Getafe,0.6,4.0,3272,37,SRB
290,Oscar Mingueza,Celta de Vigo,0.6,4.0,3002,38,ESP
295,Aridane Hernández,Rayo Vallecano,0.6,3.0,1691,19,EQG
295,Pep Chavarria,Rayo Vallecano,0.6,3.0,1164,22,ESP
297,Federico Valverde,Real Madrid,0.6,2.0,2910,37,URU
297,Ferran Torres,Barcelona,0.6,2.0,1204,29,ESP
297,Francisco Garcia,Real Madrid,0.6,2.0,1396,25,ESP
297,Isaac Carcelén,Cádiz,0.6,2.0,2609,35,ESP
301,Chadi Riad,Real Betis,0.6,1.0,2164,26,MAR
301,Sergio Arribas,Almería,0.6,1.0,2055,34,ESP
303,Viktor Tsigankov,Girona,0.6,0.0,2067,30,UKR
304,Jesus Navas,Sevilla,0.5,6.0,2010,29,ESP
305,Antoine Griezmann,Atlético de Madrid,0.5,5.0,2654,33,FRA
305,Ilkay Gündogan,Barcelona,0.5,5.0,2997,36,GER
307,Joselu,Real Madrid,0.5,1.0,1676,34,ESP
308,Rodri,Real Betis,0.5,0.0,1039,29,ESP
309,Álex Fernández,Cádiz,0.4,3.0,1283,26,ESP
310,Rodrygo,Real Madrid,0.4,2.0,2388,34,BRA
311,Kieran Tierney,Real Sociedad,0.4,1.0,1243,20,SCO
312,Willian José,Real Betis,0.4,0.0,1978,33,BRA
313,Adrià Pedrosa,Sevilla,0.3,1.0,1749,31,ESP
314,José Luis Morales,Villarreal,0.3,0.0,1037,29,ESP
315,Filip Jörgensen,Villarreal,0.1,4.0,3240,36,DEN
315,Rui Silva,Real Betis,0.1,4.0,2475,28,POR
317,Giorgi Mamardashvili,Valencia CF,0.1,3.0,3285,37,GEO
318,David Soria,Getafe,0.0,3.0,3414,38,ESP
319,Alex Remiro,Real Sociedad,0.0,2.0,3276,37,ESP
319,Álvaro Vallés,Las Palmas,0.0,2.0,3264,37,ESP
319,Predrag Rajkovic,Mallorca,0.0,2.0,3240,36,SRB
319,Vicente Guaita,Celta de Vigo,0.0,2.0,2402,27,ESP
323,Luis Maximiano,Almería,0.0,1.0,2970,33,POR
324,Jeremias Ledesma,Cádiz,0.0,0.0,3049,34,ARG
