Rank,Player,Team,FotMob Rating,Player of the Match Awards,Minutes,Matches,Country
241,Alex Berenguer,Athletic Club,6.64,2.0,1581,35,ESP
242,Kike Garcia,Alavés,6.64,0.0,1421,33,ESP
243,Vicente Guaita,Celta de Vigo,6.63,1.0,2402,27,ESP
244,Iddrisu Baba,Almería,6.62,0.0,1424,25,GHA
245,Stole Dimitrievski,Rayo Vallecano,6.62,3.0,3330,37,MKD
246,Álex Fernández,Cádiz,6.62,0.0,1283,26,ESP
246,Hector Bellerin,Real Betis,6.62,0.0,1714,23,ESP
248,William Carvalho,Real Betis,6.61,0.0,669,22,POR
248,Largie Ramazani,Almería,6.61,0.0,1560,29,BEL
248,Cenk Özkacar,Valencia CF,6.61,0.0,1595,23,TUR
251,Lucas Boye,Granada CF,6.61,1.0,2555,31,ARG
251,Cristian Portu,Girona,6.61,1.0,1271,36,ESP
253,Antonio Sánchez,Mallorca,6.6,0.0,1463,29,ESP
253,Raul Albiol,Villarreal,6.6,0.0,2035,26,ESP
253,Anastasios Douvikas,Celta de Vigo,6.6,0.0,886,32,GRE
256,Jaume Costa,Mallorca,6.59,0.0,1681,30,ESP
256,Memphis Depay,Atlético de Madrid,6.59,0.0,888,23,NED
256,Hugo Guillamon,Valencia CF,6.59,0.0,1305,26,ESP
256,Alejandro Catena,Osasuna,6.59,0.0,2536,30,ESP
260,Luca de la Torre,Celta de Vigo,6.57,1.0,1956,31,USA
261,Jorge Herrando,Osasuna,6.56,0.0,1644,19,ESP
261,Fran Pérez,Valencia CF,6.56,0.0,2069,32,ESP
261,Miguel Rubio,Granada CF,6.56,0.0,1559,19,ESP
261,Omar Mascarell,Mallorca,6.56,0.0,1573,29,EQG
265,Ezequiel Ávila,Real Betis,6.55,0.0,1166,23,ARG
265,Munir El Haddadi,Las Palmas,6.55,0.0,2470,38,MAR
267,Ignasi Miquel,Granada CF,6.53,1.0,2991,34,ESP
268,Jaime Mata,Getafe,6.53,2.0,1790,35,ESP
269,Myrto Uzuni,Granada CF,6.53,1.0,2459,34,ALB
270,Rodri,Real Betis,6.53,0.0,1039,29,ESP
270,Gonzalo Escalante,Cádiz,6.53,0.0,1702,25,ARG
272,Juan Cruz,Osasuna,6.52,0.0,1663,26,ESP
273,Samuel Omorodion,Alavés,6.52,1.0,2003,35,ESP
274,Ruben Sobrino,Cádiz,6.52,0.0,1648,32,ESP
275,José Ángel Carmona,Getafe,6.51,0.0,1312,30,ESP
275,Lucas Pires,Cádiz,6.51,0.0,1527,28,BRA
275,Ricard Sánchez,Granada CF,6.51,0.0,2298,33,ESP
275,Jorge de Frutos,Rayo Vallecano,6.51,0.0,1542,36,ESP
279,Luis Maximiano,Almería,6.51,3.0,2970,33,POR
280,Edgar González,Almería,6.5,0.0,2528,31,ESP
280,Umar Sadiq,Real Sociedad,6.5,0.0,1074,26,NGA
282,Carlos Neva,Granada CF,6.49,0.0,3152,36,ESP
282,Unai Gomez,Athletic Club,6.49,0.0,867,25,ESP
284,Pablo Ibánez,Osasuna,6.48,0.0,1141,33,ESP
285,Roger,Cádiz,6.46,1.0,1367,23,ESP
286,José Arnáiz,Osasuna,6.46,0.0,922,26,ESP
287,Marvin Park,Las Palmas,6.46,1.0,1852,31,ESP
288,Abdon Prats,Mallorca,6.45,0.0,1258,34,ESP
288,Christopher Ramos,Cádiz,6.45,0.0,2627,37,ESP
290,Valery Fernández,Girona,6.44,0.0,486,27,ESP
290,Oscar Trejo,Rayo Vallecano,6.44,0.0,1381,31,ARG
292,José Luis Morales,Villarreal,6.44,1.0,1037,29,ESP
293,Abdessamad Ezzalzouli,Real Betis,6.42,0.0,921,28,MAR
294,Raul Garcia,Osasuna,6.41,1.0,1347,35,ESP
295,Iván Alejo,Cádiz,6.4,0.0,1702,30,ESP
295,Marc Cardona,Las Palmas,6.4,0.0,724,26,ESP
297,Sergio Camello,Rayo Vallecano,6.39,1.0,1668,31,ESP
298,José Maria Callejon,Granada CF,6.39,0.0,794,25,ESP
298,Gonzalo Melero,Almería,6.39,0.0,1093,28,ESP
298,Raul de Tomas,Rayo Vallecano,6.39,0.0,1277,25,ESP
298,César Montes,Almería,6.39,0.0,1792,21,MEX
302,Cyle Larin,Mallorca,6.36,0.0,1823,35,CAN
303,Juanmi Latasa,Getafe,6.35,0.0,1553,32,ESP
304,Oscar Melendo,Granada CF,6.33,0.0,1126,26,ESP
305,Carles Alena,Getafe,6.32,0.0,1007,29,ESP
305,Pablo Torre,Girona,6.32,0.0,690,26,ESP
305,Abderrahman Rebbach,Alavés,6.32,0.0,713,23,ALG
308,Kike Pérez,Rayo Vallecano,6.31,0.0,828,24,ESP
309,Roman Yaremchuk,Valencia CF,6.3,0.0,926,25,UKR
310,Juan Brandariz,Almería,6.25,0.0,2432,31,ESP
311,Maximiliano Gomez,Cádiz,6.13,0.0,1157,31,URU
